"firm_name","n_offres","sector_main","avg_req_exp","top_skill_req","avg_wage","addr_dept_main"
"DOCTOLIB",2,"",NA,"Collaboration, Deep Learning, English, NLP",NA,"75"
"CAISSE D'EPARGNE AQUITAINE POITOU CHARENTES",1,"",NA,"",NA,"33"
"GROUPE BPCE",5,"",NA,"Bases de donnée, équipe, Excel, Power BI, Reporting, Rigueur, SQL, Statistique, Tableau",NA,"33"
"GROUPAMA RHÔNE ALPES AUVERGNE",1,"",NA,"",NA,"69"
"QIMA",1,"",NA,"",NA,NA
"ARCOM",1,"",NA,"",NA,"75"
"CIVILS DE LA DÉFENSE",1,"",NA,"",NA,"75"
"ARKEON ENERGY",1,"",NA,"",NA,"14"
"TOUTON SA",1,"",NA,"",NA,"33"
"EUREDEN",1,"",NA,"",NA,"29"
"EDHEC BUSINESS SCHOOL",1,"",NA,"",NA,"59"
"EFFI GEMY",2,"",NA,"équipe, Python, Statistique",NA,NA
"LA BELLE ILOISE",1,"",NA,"",NA,"56"
"BETCLIC GROUP",4,"",NA,"Autonomous, Collaboration, Communication, Data Visualization, English, équipe, Excel, Français, French, Git, Presentation Skills, Proactive, Programmation, Programming, Python, SQL, Statistics, Statistique, Tableau",NA,"33"
"QUANTUM SURGICAL",2,"",NA,"Communication, Deep Learning, équipe, Excel, Python, PyTorch, TensorFlow",NA,"34"
"COLAS",1,"",NA,"",NA,"54"
"NOVA CONSULTING",1,"",NA,"",NA,"75"
"AIR FRANCE",1,"",NA,"",NA,"95"
"KLARYS",1,"",NA,"Deep Learning",NA,"35"
"MONABANQ",1,"",NA,"",NA,"59"
"FREE2MOVE",1,"",NA,"",NA,"75"
"BUSINESS INSIGHT",1,"",NA,"",NA,NA
"ALGOSCOPE",1,"",NA,"",NA,NA
"FREE MOBILE",1,"",NA,"",40000,"34"
"LEFEBVRE SARRUT",1,"",NA,"",NA,"92"
"SOCOMEC",1,"",NA,"",NA,"67"
"SOYHUCE",2,"",NA,"Deep Learning, équipe, Git, Python, SQL, Statistique",NA,"75"
"SIM&CURE",1,"",NA,"Deep Learning",NA,"34"
"TALENTEEDS",1,"",NA,"",NA,"75"
"EURO INFORMATION",2,"",NA,"Anglais, Autonome, Autonôme, Deep Learning, équipe, Python",34500,"59"
"EXCELCIO",1,"",NA,"",NA,"75"
"ELIS",1,"",NA,"",NA,"92"
"R&S TELECOM",1,"",NA,"",NA,"75"
"BAXTER",1,"",NA,"",NA,"78"
"ENDRESS & HAUSER FRANCE",1,"",NA,"",NA,"68"
"INEX BET",1,"",NA,"",NA,"93"
"VINCI CONSTRUCTION",3,"",NA,"Collaboration, équipe, Intelligence artificielle, Reporting",NA,"94"
"INRAE",1,"",NA,"",29900,"44"
"OCTOPUS ENERGY GROUP",1,"",NA,"",NA,"75"
"CEVA LOGISTICS",2,"",NA,"Communication, Creativity, Excel, Git",NA,"13"
"SORARE",1,"",NA,"",NA,"75"
"ALTEIA",1,"",NA,"Deep Learning",NA,NA
"AIZEN RECRUITMENT",1,"",NA,"",NA,"75"
"AXA FUNDS MANAGEMENT",1,"",NA,"",NA,"92"
"RHODIUM GROUP",1,"",NA,"",NA,"75"
"SPARE PARTS 3D",1,"",NA,"",NA,"75"
"SAS AKERWISE",1,"",NA,"",NA,"75"
"PROCTER & GAMBLE",1,"",NA,"",NA,"75"
"GHU PARIS PSYCHIATRIE ET NEUROSCIENCES",1,"",NA,"",NA,"75"
"METRIXX",1,"",NA,"",NA,"69"
"CNAV",1,"",NA,"",36000,"75"
"WEFOX",1,"",NA,"",NA,"75"
"ACT-ON DATA",1,"",NA,"",NA,"92"
"DATAIKU",1,"",NA,"",NA,"75"
"L'ORGANISATION MONDIALE DE LA SANTÉ ANIMALE (OIE)",1,"",NA,"",NA,"75"
"INFORMATIS-TS",3,"",NA,"Anglais, Base de donnée, Excel, Programmation, SQL, Statistique",NA,"10"
"ARKEMA",1,"",NA,"",NA,"92"
"PRO BTP GROUPE",1,"",NA,"",45000,"94"
"DATAFAB.IO",1,"",NA,"Deep Learning",NA,"94"
"RECRULAB",1,"",NA,"",45000,"69"
"DANEM PEOPLE FRANCE",2,"",NA,"équipe, Français, Git, Google Cloud, Python, SQL, Tableau",75000,"75"
"SOGETI",1,"",NA,"",NA,"31"
"GROUPAMA CENTRE MANCHE",1,"",NA,"",NA,"72"
"SOFTEAM",1,"",NA,"",NA,"75"
"SOCIÉTÉ GÉNÉRALE SECURITIES SERVICES",1,"",NA,"",NA,"92"
"APTARGROUP, INC.",1,"",NA,"",NA,"27"
"SAINT MACLOU",2,"",NA,"équipe, Reporting, SQL",33000,"59"
"NEXTEAM GROUP",1,"",NA,"",NA,"64"
"GROUPE APTENIA",2,"",NA,"Anglais, Deep Learning, Optimisation",NA,"75"
"GROUPE BAYARD PRESSE",1,"",NA,"",NA,"92"
"VETOQUINOL",1,"",NA,"",NA,"70"
"MIRAKL - LABS",1,"",NA,"Deep Learning",NA,"33"
"BANQUE POPULAIRE RIVES DE PARIS",1,"",NA,"",NA,"75"
"CEGID",1,"",NA,"",40000,"69"
"GROUPE ALPHA",2,"",NA,"Bases de donnée, équipe, modélisation, Optimisation, Rapport, SQL, Tableau",NA,"75"
"HIMYDATA",2,"",NA,"Collaboration, équipe, Git, Programmation, Python, SQL, Statistique",30800,"6"
"FILHET-ALLARD",1,"",NA,"",NA,NA
"PAPERNEST",46,"",NA,"Anglais, Collaboration, English, équipe, Français, Git, Python, SQL, Tableau, Visualisation de donnée",NA,"75"
"TEAM IS",1,"",NA,"",60000,"75"
"OKAIDI",1,"",NA,"",38000,"59"
"CAISSE DES DÉPÔTS ET CONSIGNATIONS",1,"",NA,"",NA,"75"
"L'OPCOMMERCE",1,"",NA,"",38500,"75"
"RTE INTERNATIONAL",1,"",NA,"",NA,"92"
"ONEPOINT GROUP",4,"",NA,"Curiosité, Dataviz, équipe, Intelligence artificielle, Power BI, Reporting, Tableau",NA,"75"
"GROUPEMENT D'INTERET PUBLIC PULSY",1,"",NA,"",NA,"67"
"SMARTEO",1,"",NA,"",NA,NA
"BFORBANK",1,"",NA,"",NA,"92"
"GESER BEST",1,"",NA,"",28000,"33"
"INVIVOO",1,"",NA,"",40000,"75"
"PICTARINE",1,"",NA,"",NA,NA
"VALOWAY",1,"",NA,"",45000,"44"
"ADEO SERVICES",1,"",NA,"",NA,"59"
"FLYINSTINCT",1,"",NA,"",NA,"75"
"SERCEL",1,"",NA,"",NA,"44"
"OGF",1,"",NA,"",NA,"75"
"CCPA GROUP",1,"",NA,"",NA,NA
"PACIFIC PÊCHE",1,"",NA,"",NA,"34"
"WIZALY",1,"",NA,"",NA,"75"
"AEROW",1,"",NA,"",NA,"75"
"MARCEL ROBBEZ MASSON",1,"",NA,"",36000,"34"
"SENSE4DATA",1,"",NA,"",NA,"33"
"RECRUTONS ENSEMBLE",1,"",NA,"",NA,"13"
"AOSIS",1,"",NA,"",45000,"92"
"TEADS",1,"",NA,"",NA,"34"
"ARGON & CO",1,"",NA,"Deep Learning",NA,"92"
"FINDWAYS",1,"",NA,"",NA,"92"
"VINCI AUTOROUTES",2,"",NA,"équipe, Excel",NA,"92"
"HIPPY SAS - INDIENOV",1,"",NA,"",NA,"13"
"BPGRANDOUEST",1,"",NA,"",NA,"44"
"KNOW YOUR PEOPLE",1,"",NA,"",35000,"59"
"SII TECHNOLOGIES GMBH HR-SERVICE",1,"",NA,"",42000,"92"
"RECONOMIA",1,"",NA,"",NA,"59"
"ITW",1,"",NA,"",NA,"26"
"UNIVERSITÉ DE NANTES",1,"",NA,"",NA,"44"
"HITACHI SOLUTIONS LTD",1,"",NA,"",NA,"75"
"CHAPS VISION",2,"",NA,"Anglais, Communication, équipe, Excel, Français, Git, Python",NA,"75"
"MAZARS",1,"",NA,"",NA,"75"
"AB SCIENCE",2,"",NA,"Database, Excel, Optimization, Programming, SQL",NA,"75"
"NEO SOFT",1,"",NA,"",NA,"75"
"PAIE & RH SOLUTIONS",1,"",NA,"",NA,"64"
"BEEZEN",2,"",NA,"SQL",NA,"92"
"VALTAO",1,"",NA,"",NA,"95"
"UNIVERSITÉ DE MONTPELLIER",1,"",NA,"",NA,"34"
"FREELANCEREPUBLIK",2,"",NA,"",NA,"59"
"SAFILO",1,"",NA,"",NA,"92"
"COFIDIS",2,"",NA,"Autonome, Autonôme, équipe, Optimisation, Programmation, Rigueur, Statistique, Tableau",35000,"59"
"KUMO",1,"",NA,"",NA,"92"
"ANEO",1,"",NA,"",NA,"92"
"DALKIA",1,"",NA,"",NA,"49"
"LOUVRE HÔTELS",1,"",NA,"",NA,"92"
"LALLEMAND",1,"",NA,"",29700,"15"
"IN'LI",1,"",NA,"",NA,"92"
"MGEN",1,"",NA,"",NA,"75"
"SIPLEC",1,"",NA,"",NA,"94"
"VERISURE",1,"",NA,"",NA,"92"
"ACCELITE",1,"",NA,"",40000,"75"
"DIGIDIZ - STAFF & GO",1,"",NA,"",NA,"68"
"BD",1,"",NA,"",NA,"38"
"DATA RECRUTEMENT",46,"",NA,"Anglais, Collaboration, Deep Learning, English, équipe, Git, NLP, Python, Reporting, SQL, Statistique, Tableau, TensorFlow",40000,"75"
"DELAWARE",2,"",NA,"Anglais, équipe, Français, Rapport, Tableau",NA,"59"
"GROUPE DEMETER",1,"",NA,"",50000,"92"
"ACEO TECH",1,"",NA,"",NA,"63"
"ESPACE FREELANCE",1,"",NA,"",NA,"59"
"VO2 GROUP",1,"",NA,"",NA,"75"
"VALEURIAD",1,"",NA,"",NA,"44"
"NEXORIS",1,"",NA,"",NA,"75"
"FRISBEE PROFILING",1,"",NA,"",NA,"92"
"INSITOO FREELANCES",2,"",NA,"",NA,"59"
"GAN ASSURANCES",1,"",NA,"",NA,"92"
"AXA",3,"",NA,"Anglais, Communication, équipe, Français, Git, modélisation, Python",NA,"92"
"LINKEDIN JOB WRAPPING",1,"",NA,"",NA,"75"
"IBM",1,"",NA,"",NA,"92"
"OCTO TECHNOLOGY",1,"",NA,"Deep Learning",NA,"75"
"LE GROUPE GCF",1,"",NA,"",NA,"67"
"UNIVERSCIENCE",1,"",NA,"",43000,"75"
"SYNERGIE",1,"",NA,"",NA,"59"
"1DSOLUTIONS",2,"",NA,"équipe",NA,"75"
"BANQUE POPULAIRE MÉDITERRANÉE",1,"",NA,"",NA,"13"
"QARE",1,"",NA,"",NA,"75"
"ENTERPRISE DIGITAL RESOURCES LTD",1,"",NA,"",NA,"59"
"FINANCEPEOPLE",1,"",NA,"",50000,"78"
"ARTEMYS AGIL-IT (GROUPE ARTEMYS)",1,"",NA,"",30000,"79"
"CLAMAE GROUP",1,"",NA,"",NA,"75"
"SHORTWAYS",1,"",NA,"",NA,"53"
"UTWIN",1,"",NA,"",NA,"69"
"HAVAS MEDIA",1,"",NA,"",NA,"75"
"EQUANCY",1,"",NA,"Deep Learning",NA,"75"
"INSITOO",2,"",NA,"équipe",NA,"59"
"GROUPAMA SUPPORTS ET SERVICES",2,"",NA,"Collaboration, équipe",NA,"92"
"GROUPE M6",1,"",NA,"",NA,"92"
"LEHIBOU",1,"",NA,"",NA,"92"
"WAISSO",1,"",NA,"",NA,"75"
"NATURE ET DÉCOUVERTES",1,"",NA,"",NA,"78"
"SUNTORY BEVERAGE & FOOD FRANCE",1,"",NA,"",60000,"92"
"LATECOERE",1,"",NA,"",NA,"31"
"ARMOR MECA DEVELOPPEMENT",1,"",NA,"",30000,"22"
"ELSYS DESIGN",1,"",NA,"",NA,"35"
"TERRENA",1,"",NA,"",NA,NA
"ARTELIA",1,"",NA,"",NA,"38"
"DATAKHI",1,"",NA,"",35000,"59"
"FREE SAS",1,"",NA,"",NA,"75"
"AYMING",1,"",NA,"",NA,"92"
"KLESIA",1,"",NA,"",NA,"75"
"ALTELIOS TECHNOLOGY",1,"",NA,"",45000,"92"
"VINCI ENERGIES",1,"",NA,"",NA,"92"
"AXSANT",1,"",NA,"",50000,"75"
"ACTINVISION",2,"",NA,"Anglais, Autonome, Autonôme, Azure, Bases de donnée, Collaboration, Créativité, Curiosité, Dataviz, équipe, modélisation, Optimisation, Programmation, Rapport, SQL, Tableau",37500,"67"
"GIP PULSY",1,"",NA,"",30000,"67"
"COMPTALENTS",1,"",NA,"",35000,"95"
"THE INFORMATION LAB",1,"",NA,"",45000,"75"
"BOLLORÉ GROUP",1,"",NA,"",NA,"92"
"INPOST",1,"",NA,"",NA,"59"
"FÉDÉRATION FRANÇAISE DE RUGBY",1,"",NA,"",35100,"91"
"AG SOLUTION",1,"",NA,"",NA,"59"
"TALAN CONSULTING",1,"",NA,"",NA,"75"
"CEREG TERRITOIRES",1,"",NA,"",28000,"44"
"CPAM DE LA MARNE",1,"",NA,"",28000,"51"
"AKKION RECRUITMENT",1,"",NA,"",NA,"60"
"IADVIZE",1,"",NA,"",NA,"44"
"CGI FINANCE",1,"",NA,"",NA,"59"
"GENERATION",1,"",NA,"",NA,"29"
"DIRECTION GÉNÉRALE DE L'ARMEMENT",1,"",NA,"",NA,"35"
"VENTE 2 SITE",1,"",NA,"",NA,"94"
"COLLINS AEROSPACE",1,"",NA,"",NA,"27"
"DECIDEOM",1,"",NA,"",40000,"59"
"NEXTON CONSULTING FR",1,"",NA,"",NA,"59"
"MON-MARCHÉ.FR",1,"",NA,"",NA,"69"
"QUADRA INFORMATIQUE",1,"",NA,"",NA,"67"
"CHERCHE SUSAN DÉSESPÉRÉMENT",1,"",NA,"",NA,"75"
"GRESB",1,"",NA,"",NA,"75"
"LINCOLN",1,"",NA,"Deep Learning",NA,"69"
"GROUPE LE DUFF",1,"",NA,"",NA,"35"
"ANYWR FREELANCE",1,"",NA,"",NA,"59"
"AVANADE",1,"",NA,"Deep Learning",NA,"75"
"ONEY",1,"",NA,"",NA,"59"
"FONDATION POUR LA RECHERCHE MÉDICALE",1,"",NA,"",NA,"86"
"PUBLICIS GROUPE",1,"",NA,"",NA,"75"
"ADONE CONSEIL",1,"",NA,"",70000,"75"
"DECILIA",1,"",NA,"",38000,"92"
"COGNIZANT",1,"",NA,"",NA,"75"
"LE GROUPE LA POSTE",1,"",NA,"",NA,"75"
"GERFLOR",1,"",NA,"",NA,"69"
"IKIGAÏ",1,"",NA,"",30000,"69"
"EUROPEAN CAMPING GROUP",1,"",NA,"",30000,"34"
"NIJI",1,"",NA,"",NA,"69"
"FREE RESEAU",1,"",NA,"",NA,"75"
"CHRONOPOST",1,"",NA,"",NA,"75"
"CLÉMENTINE",1,"",NA,"",NA,"75"
"AUCHAN RETAIL FRANCE",1,"",NA,"",NA,"59"
"OCTOPUS ENERGY",1,"",NA,"",NA,"75"
"EKINO FRANCE",1,"",NA,"",NA,"93"
"ADWAY CONSEIL",1,"",NA,"",NA,"92"
"EDVANCE",1,"",NA,"",NA,"92"
"LYDIA SOLUTIONS",44,"",NA,"Communication, Communication Skills, Data Visualization, English, Excel, French, Proactive, Reporting, SQL, Team Player",NA,"75"
"ADALID",44,"",NA,"Reporting, Statistique",NA,"59"
"LSA COURTAGE",44,"",NA,"Autonome, Autonôme, Base de donnée, Communication, Curiosité, Data Visualization, équipe, Git, Google Cloud, Programmation, Rapport, Rigueur, SQL, Statistique, Tableau",NA,"92"
"MFG LABS",44,"",NA,"Anglais, AWS, équipe, Français, Hadoop, modélisation, Programmation, Python, Spark, SQL, Statistique, Tableau",NA,"77"
"LIBERTY RIDER",44,"",NA,"Autonome, Autonôme, Communication, équipe, Power BI, Python, Rapport, SQL, Statistique, Tableau",NA,"31"
"SHIPPEO",44,"",NA,"Attention to Detail, Collaboration, Data Cleaning, English, Excel, French, Proactive, Reporting, Tableau",NA,"75"
"TECH RIDERS",44,"",NA,"Anglais, Autonome, Autonôme, Collaboration, équipe, Excel, modélisation, Optimisation, Proactive, Rigueur",NA,"75"
"ORTEC ENGINEERING",44,"",NA,"équipe",NA,"31"
"X-FAB",44,"",NA,"Collaboration, Communication, English, Excel, French, Statistics",NA,"91"
"SODEXO",44,"",NA,"Autonomous, Communication, Curious, English, Excel, Français, French, Power BI, Proactive",NA,"92"
